City,Latitude,Longitude,Population,Land Area,Water Area
"Stuttgart, AR, USA",34.497196,-91.560921,8264,7.41,0.00
"Osceola, AR, USA",35.705608,-89.992729,6976,9.42,0.00
"Newport, AR, USA",35.618671,-91.271286,8005,13.55,0.25
"Forrest City, AR, USA",35.010712,-90.797783,13015,20.25,0.07
"Crossett, AR, USA",33.132671,-91.971634,4822,5.79,0.17
"Camden, AR, USA",33.586617,-92.842979,10612,16.53,0.09
"Blytheville, AR, USA",35.934574,-89.92617,13406,20.74,0.06
"Window Rock, AZ, USA",35.67897,-109.067413,2500,5.29,0.00
"Globe, AZ, USA",33.395844,-110.793739,7249,18.20,0.01
"Palmer, AK, USA",61.600803,-149.125259,5888,5.07,0.00
"Tuskegee, AL, USA",32.429066,-85.715233,9395,17.06,0.27
"Troy, AL, USA",31.806484,-85.968628,17727,28.34,0.08
"Scottsboro, AL, USA",34.650826,-86.088501,15578,50.65,6.76
"Ozark, AL, USA",31.463181,-85.647202,14368,34.10,0.23
"Waukesha, WI, USA",43.0186,-88.259773,71158,25.53,0.27
"Jasper, AL, USA",33.834263,-87.280708,14572,29.33,0.33
"Guntersville, AL, USA",34.361664,-86.305595,8553,25.64,17.06
"Eufaula, AL, USA",31.89818,-85.16021,12882,59.52,13.96
"Enterprise, AL, USA",31.335653,-85.865448,28711,30.96,0.07
"Demopolis, AL, USA",32.510178,-87.855392,7162,17.75,0.32
"Atmore, AL, USA",31.025837,-87.506462,8391,21.86,0.07
"Alexander City, AL, USA",32.940945,-85.970024,14843,43.70,0.29
"Whittier, CA, USA",33.982506,-118.040962,14843,43.70,0.29
"South San Francisco, CA, USA",37.662937,-122.433014,66105,9.20,20.97
"Sausalito, CA, USA",37.865894,-122.498055,7269,1.76,0.49
"San Rafael, CA, USA",37.986076,-122.534752,61271,16.59,5.96
"San Marino, CA, USA",34.1213,-118.132607,13147,3.77,0.01
"San Luis Obispo, CA, USA",35.270378,-120.680656,47063,13.11,0.15
"Ojai, CA, USA",34.456936,-119.25444,7637,4.36,0.01
"Merced, CA, USA",37.325954,-120.499992,86333,23.25,0.00
"Marysville, CA, USA",39.152321,-121.593994,12072,3.46,0.12
"Martinez, CA, USA",37.997417,-122.133598,38290,12.63,1.00
"Malibu, CA, USA",34.031246,-118.788193,10654,19.86,0.03
"Lodi, CA, USA",38.130123,-121.290443,67586,13.64,0.22
"Garden Grove, CA, USA",33.785645,-117.97348,171949,17.96,0.02
"Eureka, CA, USA",40.785114,-124.183922,27191,,5.07
"Culver City, CA, USA",34.010124,-118.415016,40779,5.11,0.03
"Coronado, CA, USA",32.631718,-117.136772,40779,5.11,0.03
"Claremont, CA, USA",34.132236,-117.739929,37266,13.34,0.14
"Buena Park, CA, USA",33.8689,-118.012741,84034,10.53,0.03
"Belmont, CA, USA",37.524174,-122.304199,28335,4.63,0.01
"Watervliet, NY, USA",42.729637,-73.708778,10375,1.34,
"Utica, NY, USA",43.107204,-75.252312,65283,16.72,0.26
"Troy, NY, USA",42.728104,-73.687576,51401,10.36,0.70
"Fairfield, IA, USA",41.00695,-91.973419,9416,6.61,0.16
"Tonawanda, NY, USA",43.01519,-78.891663,9416,6.61,0.16
"Schenectady, NY, USA",42.813297,-73.941177,9416,6.61,0.16
"Saratoga Springs, NY, USA",43.083313,-73.809898,28491,28.07,0.81
"Rye, NY, USA",40.981613,-73.691925,16592,5.85,14.17
"Rome, NY, USA",43.227978,-75.484924,32127,74.85,0.80
